date,value,series_id,indicator_name,unit,geography,geo_level,source
2012-04-01,20707.0,CES6500000001,Education & Health Services Employment,Thousands,United States,National,BLS CES
2012-04-01,25285.0,CES4000000001,"Trade, Transport & Utilities Employment",Thousands,United States,National,BLS CES
2012-04-01,17961.0,CES6000000001,Professional & Business Services Employment,Thousands,United States,National,BLS CES
2012-04-01,11897.0,CES3000000001,Manufacturing Employment,Thousands,United States,National,BLS CES
2012-04-01,133825.0,CES0000000001,Total Nonfarm Employment,Thousands,United States,National,BLS CES
2012-04-01,5618.0,CES2000000001,Construction Employment,Thousands,United States,National,BLS CES
2012-04-01,2680.0,CES5000000001,Information Employment,Thousands,United States,National,BLS CES
2012-05-01,7781.0,CES5500000001,Financial Activities Employment,Thousands,United States,National,BLS CES
2012-05-01,133932.0,CES0000000001,Total Nonfarm Employment,Thousands,United States,National,BLS CES
2012-05-01,855.0,CES1000000001,Mining & Logging Employment,Thousands,United States,National,BLS CES
2012-05-01,17986.0,CES6000000001,Professional & Business Services Employment,Thousands,United States,National,BLS CES
2012-05-01,20744.0,CES6500000001,Education & Health Services Employment,Thousands,United States,National,BLS CES
2012-05-01,5604.0,CES2000000001,Construction Employment,Thousands,United States,National,BLS CES
2012-05-01,25337.0,CES4000000001,"Trade, Transport & Utilities Employment",Thousands,United States,National,BLS CES
2012-05-01,11908.0,CES3000000001,Manufacturing Employment,Thousands,United States,National,BLS CES
2012-05-01,2685.0,CES5000000001,Information Employment,Thousands,United States,National,BLS CES
2012-06-01,852.0,CES1000000001,Mining & Logging Employment,Thousands,United States,National,BLS CES
2012-06-01,2674.0,CES5000000001,Information Employment,Thousands,United States,National,BLS CES
2012-06-01,18042.0,CES6000000001,Professional & Business Services Employment,Thousands,United States,National,BLS CES
2012-06-01,20744.0,CES6500000001,Education & Health Services Employment,Thousands,United States,National,BLS CES
2012-06-01,11918.0,CES3000000001,Manufacturing Employment,Thousands,United States,National,BLS CES
2012-06-01,25323.0,CES4000000001,"Trade, Transport & Utilities Employment",Thousands,United States,National,BLS CES
2012-06-01,134013.0,CES0000000001,Total Nonfarm Employment,Thousands,United States,National,BLS CES
2012-06-01,5621.0,CES2000000001,Construction Employment,Thousands,United States,National,BLS CES
2012-06-01,7782.0,CES5500000001,Financial Activities Employment,Thousands,United States,National,BLS CES
2012-07-01,2679.0,CES5000000001,Information Employment,Thousands,United States,National,BLS CES
2012-07-01,7778.0,CES5500000001,Financial Activities Employment,Thousands,United States,National,BLS CES
2012-07-01,25329.0,CES4000000001,"Trade, Transport & Utilities Employment",Thousands,United States,National,BLS CES
2012-07-01,5632.0,CES2000000001,Construction Employment,Thousands,United States,National,BLS CES
2012-07-01,11944.0,CES3000000001,Manufacturing Employment,Thousands,United States,National,BLS CES
2012-07-01,20779.0,CES6500000001,Education & Health Services Employment,Thousands,United States,National,BLS CES
2012-07-01,18084.0,CES6000000001,Professional & Business Services Employment,Thousands,United States,National,BLS CES
2012-07-01,851.0,CES1000000001,Mining & Logging Employment,Thousands,United States,National,BLS CES
2012-07-01,134157.0,CES0000000001,Total Nonfarm Employment,Thousands,United States,National,BLS CES
2012-08-01,134339.0,CES0000000001,Total Nonfarm Employment,Thousands,United States,National,BLS CES
2012-08-01,7788.0,CES5500000001,Financial Activities Employment,Thousands,United States,National,BLS CES
2012-08-01,11940.0,CES3000000001,Manufacturing Employment,Thousands,United States,National,BLS CES
2012-08-01,5648.0,CES2000000001,Construction Employment,Thousands,United States,National,BLS CES
2012-08-01,20806.0,CES6500000001,Education & Health Services Employment,Thousands,United States,National,BLS CES
2012-08-01,18118.0,CES6000000001,Professional & Business Services Employment,Thousands,United States,National,BLS CES
2012-08-01,852.0,CES1000000001,Mining & Logging Employment,Thousands,United States,National,BLS CES
2012-08-01,2675.0,CES5000000001,Information Employment,Thousands,United States,National,BLS CES
2012-08-01,25361.0,CES4000000001,"Trade, Transport & Utilities Employment",Thousands,United States,National,BLS CES
2012-09-01,11934.0,CES3000000001,Manufacturing Employment,Thousands,United States,National,BLS CES
2012-09-01,5661.0,CES2000000001,Construction Employment,Thousands,United States,National,BLS CES
2012-09-01,134517.0,CES0000000001,Total Nonfarm Employment,Thousands,United States,National,BLS CES
2012-09-01,2670.0,CES5000000001,Information Employment,Thousands,United States,National,BLS CES
2012-09-01,847.0,CES1000000001,Mining & Logging Employment,Thousands,United States,National,BLS CES
2012-09-01,25387.0,CES4000000001,"Trade, Transport & Utilities Employment",Thousands,United States,National,BLS CES
2012-09-01,20845.0,CES6500000001,Education & Health Services Employment,Thousands,United States,National,BLS CES
2012-09-01,18134.0,CES6000000001,Professional & Business Services Employment,Thousands,United States,National,BLS CES
2012-09-01,7800.0,CES5500000001,Financial Activities Employment,Thousands,United States,National,BLS CES
2012-10-01,2666.0,CES5000000001,Information Employment,Thousands,United States,National,BLS CES
2012-10-01,837.0,CES1000000001,Mining & Logging Employment,Thousands,United States,National,BLS CES
2012-10-01,11941.0,CES3000000001,Manufacturing Employment,Thousands,United States,National,BLS CES
2012-10-01,25427.0,CES4000000001,"Trade, Transport & Utilities Employment",Thousands,United States,National,BLS CES
2012-10-01,20875.0,CES6500000001,Education & Health Services Employment,Thousands,United States,National,BLS CES
2012-10-01,18207.0,CES6000000001,Professional & Business Services Employment,Thousands,United States,National,BLS CES
